Nama_Fitting,Bulan,Total_Qty_PCS_Per_Bulan
BOOTCUT,1,1
BOOTCUT,2,7
BOOTCUT,3,20
BOOTCUT,4,19
BOOTCUT,5,2
COMFORT,3,1
COMFORT,4,1
COMFORT,7,1
REGULAR,1,136
REGULAR,2,142
REGULAR,3,288
REGULAR,4,713
REGULAR,5,77
REGULAR,6,103
REGULAR,7,85
REGULAR,8,79
REGULAR,9,93
REGULAR,10,125
SKINNY,1,2
SKINNY,2,4
SKINNY,3,10
SKINNY,4,47
SKINNY,5,2
SKINNY,6,11
SKINNY,7,2
SKINNY,8,4
SKINNY,9,8
SKINNY,10,6
SLIM,1,29
SLIM,2,23
SLIM,3,80
SLIM,4,217
SLIM,5,23
SLIM,6,27
SLIM,7,36
SLIM,8,47
SLIM,9,48
SLIM,10,29
"SUPER SKINNY",1,1
"SUPER SKINNY",2,2
"SUPER SKINNY",4,11
"SUPER SKINNY",8,1
"SUPER SKINNY",9,1
